Date,AAPL,MSFT,NVDA,JNJ,NVS,JPM,GS,AMZN,DIS,MCD,NEE,BA,CAT,XOM,CVX,RIO,BHP
2014-09-30,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-02,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-03,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-06,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-07,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-08,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-09,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-10,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-13,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-14,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-15,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-16,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-17,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-20,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-21,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-22,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-23,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-24,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-27,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-28,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-29,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-30,0.24791,0.0,0.0,0.2043,0.15171,0.0,0.0,0.0,0.1694,0.0,0.22668,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-31,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-03,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-04,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-05,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-06,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-07,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-10,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-12,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-13,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-17,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-18,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-19,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-20,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-21,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-24,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-25,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-26,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-28,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-30,0.29569,0.0,0.0,0.12852,0.1132,0.0,0.0,0.0,0.13101,0.0,0.33158,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-02,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-03,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-08,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-15,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-22,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-23,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-24,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-26,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-29,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-30,0.27295,0.0,0.0,0.1604,0.0939,0.0,0.0,0.0,0.16486,0.0,0.3079,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-22,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-31,0.29134,0.0,0.0,0.0,0.14279,0.0,0.0,0.0,0.15078,0.0,0.4112,0.00388,0.0,0.0,0.0,0.0,0.0
2015-02-02,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-13,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-17,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-18,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-20,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-23,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-24,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-26,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-27,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-28,0.31078,0.0,0.0,0.0,0.16576,0.0,0.0,0.0,0.24244,0.0,0.28102,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-06,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-09,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-10,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-11,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-12,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-13,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-16,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-17,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-18,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-19,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-23,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-24,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-25,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-26,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-27,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,0.2799,0.0,0.0,0.04703,0.08158,0.0,0.0,0.0,0.20721,0.0,0.38428,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-02,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-07,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-08,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-09,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-10,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-13,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-14,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-15,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-16,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-17,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-20,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-21,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-22,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-23,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-24,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-27,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-28,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-29,0.30395,0.0,0.0,0.0,0.1522,0.0,0.0,0.0,0.26151,0.0,0.28234,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-04,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-05,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-07,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-08,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-11,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-12,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-13,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-14,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-15,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-18,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-19,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-20,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-21,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-22,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-26,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-27,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-28,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-29,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-31,0.30485,0.0,0.0,0.0,0.16862,0.0,0.0,0.01265,0.28408,0.0,0.2298,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-02,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-03,0.29662,0.0,0.0,0.0,0.18288,0.0,0.0,0.01231,0.28671,0.0,0.22148,0.0,0.0,0.0,0.0,0.0,0.0
